Sat, 18 Jun 2022 14:33:16 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/create_film.php?id=411 | Referrer: 
        http://localhost/site_lb2/index.php | Username: unknown 

Sat, 18 Jun 2022 14:33:18 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/index.php | Referrer: 
        http://localhost/site_lb2/ | Username: unknown 

Sat, 18 Jun 2022 14:33:35 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/create_login.php | Referrer: 
        http://localhost/site_lb2/index.php | Username: unknown 

Sat, 18 Jun 2022 14:33:36 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/index.php | Referrer: 
        http://localhost/site_lb2/create_login.php | Username: unknown 

Sun, 19 Jun 2022 15:25:37 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:25:42 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:26:23 +0200 - IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

Sun, 19 Jun 2022 15:27:21 +0200 - IP: ::1 | Agent: ApacheBench/2.3 | URL: /site_lb2/index.php | Referrer: unknown | Username: unknown 

